update,mean_fitness,count
0,0,50
10,0.7,100
20,0.853659,164
30,0.865741,216
40,0.90301,299
50,0.98895,362
60,1.03125,448
70,1.01318,531
80,1.00157,637
90,1.00271,739
100,1.01266,869
110,1.01192,1007
120,1.0625,1184
130,1.05075,1340
140,1.02403,1540
150,1.01974,1722
160,1.04348,1909
170,1.02394,2130
180,1.02966,2360
190,1.0298,2584
200,0.989459,2846
210,1.01252,3114
220,1.0297,3401
230,0.995186,3739
240,1.03259,4112
250,1.02046,4497
260,1.03516,4921
270,0.991081,5382
280,0.99966,5885
290,1.02441,6431
300,0.999006,7045
310,1.01763,7714
320,1.02118,8358
330,0.98033,9100
340,1.01435,9894
350,1.00866,10742
360,1.01506,11624
370,1.01122,12479
380,1.00275,13431
390,1.002,14471
