update,mean_fitness,count
0,0,500
10,0.702463,1015
20,0.88378,1566
30,0.926011,2176
40,0.987246,2901
50,0.981897,3701
60,0.996253,4537
70,1.01368,5411
80,1.04035,6344
90,1.00952,7356
100,1.00239,8372
110,1.00393,9424
120,1.01615,10528
130,1.0111,11710
140,1.02805,12941
150,1.02472,14200
160,1.03399,15446
170,1.02191,16708
180,1.0146,17947
190,1.03436,19266
200,1.03933,20618
210,1.03153,21980
220,1.03346,23341
230,1.04005,24766
240,1.03621,26262
250,1.03384,27688
260,1.02628,29143
270,1.02151,30689
280,1.02843,32215
290,1.0329,33680
300,1.03049,35029
310,1.03381,36443
320,1.04034,37852
330,1.03316,39264
340,1.04085,40755
350,1.03934,42248
360,1.04731,43774
370,1.0379,45226
380,1.03981,46692
390,1.03681,48082
