update,mean_fitness,count
0,0,500
10,0.764858,1161
20,0.891028,2441
30,0.968137,4080
40,0.948079,6664
50,0.978161,10028
60,0.977329,14247
70,0.975604,19552
80,0.995687,25736
90,0.997443,32459
100,0.998692,39743
110,1.00927,47705
120,1.01613,55719
130,1.02453,64458
140,1.02512,73360
150,1.03828,82539
160,1.0435,92272
170,1.04417,102179
180,1.05051,112236
190,1.05572,123129
200,1.0596,134609
210,1.06316,146503
220,1.06334,158961
230,1.07222,171953
240,1.07849,184965
250,1.07604,198706
260,1.08237,212355
270,1.08786,226655
280,1.08144,241098
290,1.09274,256272
300,1.09192,272097
310,1.0928,287845
320,1.09197,304243
330,1.09843,321028
340,1.09532,338204
350,1.1009,355765
360,1.10184,373717
370,1.10236,392074
380,1.10519,410782
390,1.10469,429780
